Markers,Displacement,Load,Time,Depth,HARDNESS,MODULUS,S^2/P,X Position,Y Position
,nm,mN,s,nm,GPa,GPa,GPa,Âµm,Âµm
,-3953.194763,3.341058584,221.1873976,106.1083109,7.974466565,132.7478815,2812.14505,0,489.966
,-3936.886341,3.344481588,224.7329265,102.7389435,8.622813914,137.4452828,2765.295682,0,487.96575
,-3923.160455,3.346471203,228.2597555,105.6370527,8.074320695,132.8300938,2780.409812,0,485.9655
,-3911.937364,3.34868975,231.7866134,104.6992045,8.181481323,136.857982,2892.562081,0,483.96525
,-3903.055244,3.351193935,235.3202691,99.40088607,9.286728161,144.6243986,2807.687364,0,481.965
,-3889.48959,3.353200447,238.8527671,102.7611451,8.583099502,138.7338738,2824.096921,0,479.96475
,-3872.370356,3.356217593,242.3878175,102.3007864,8.565750652,143.7990169,3013.65948,0,477.9645
,-3855.653765,3.358785464,245.9259606,105.1007995,8.101533359,136.4981193,2907.584293,0,475.96425
,-3840.631919,3.362183824,249.4574185,103.2885073,8.392768982,141.3338412,2983.922269,0,473.964
,-3824.317657,3.365449024,252.9998247,100.5639138,8.936358444,146.1549521,2971.990179,0,471.96375
,-3811.798529,3.367968335,256.5482076,99.89262125,8.991692137,150.8322543,3120.546449,0,469.9635
,-3795.401916,3.370361409,260.0984703,101.8057758,8.618057695,146.6122328,3098.627464,0,467.96325
,-3772.299582,3.373454379,263.6302166,109.8988913,7.287766557,129.8533577,2959.326194,0,465.963
,-3761.636648,3.376374671,267.1564764,102.7666928,8.494568895,142.1392994,2977.705064,0,463.96275
,-3747.7418,3.378982789,270.6880347,102.8733045,8.492718399,141.1909669,2943.574604,0,461.9625
,-3725.605745,3.38123257,274.2207146,113.3775661,6.814304547,123.4326869,2892.095025,0,459.96225
,-3701.852382,3.384795022,277.7625384,117.2969976,6.243011427,121.8701279,3085.809063,0,457.962
,-3689.086211,3.387141713,281.3000757,115.5664093,6.488344332,122.4307004,2993.550277,0,455.96175
,-3678.016405,3.390552479,284.835796,110.1403374,7.234954965,130.2754513,2998.123893,0,453.9615
,-3658.219222,3.393698094,288.3672464,111.5870677,7.070750355,125.8025284,2883.220403,0,451.96125
,-3637.61242,3.397822024,291.916897,109.6830293,7.27230684,132.5697972,3076.35284,0,449.961
,-3618.297653,3.401684555,295.4732994,108.5385072,7.512004721,131.3720824,2930.744306,0,447.96075
,-3600.113285,3.405298239,299.026858,106.4191454,7.918106313,132.3538157,2817.309179,0,445.9605
,-3576.351063,3.407496283,302.5612763,119.0995686,6.073865385,117.1371885,2954.761923,0,443.96025
,-3563.742036,3.411114062,306.0978177,110.2095956,7.249076004,128.9959697,2940.372317,0,441.96
,-3550.404834,3.414845625,309.6456127,102.9671491,8.472761468,141.1270808,2948.164787,0,439.95975
,-3526.962217,3.418116631,313.1990251,108.6564608,7.48174084,131.7667522,2958.265693,0,437.9595
,-3500.526966,3.42118617,316.7475509,118.3912245,6.304178629,110.5450869,2565.24561,0,435.95925
,-3487.268309,3.425680964,320.2950178,106.79413,7.846417376,132.0583013,2831.828921,0,433.959
,-3471.745339,3.428668613,323.8146937,106.6382434,7.867093262,132.522786,2841.983892,0,431.95875
,-3451.127443,3.433305762,327.3544197,102.5302874,8.602470301,140.1315761,2867.835695,0,429.9585
,-3432.934376,3.436237839,330.9013541,104.1590069,8.243200769,139.314195,2962.211785,0,427.95825
,-3412.719122,3.439841451,334.4370619,105.5198556,8.086822488,133.3507412,2795.376341,0,425.958
,-3389.914492,3.443070091,337.9847867,108.770759,7.496844243,130.0802682,2885.711239,0,423.95775
,-3374.953432,3.447050466,341.5123822,102.3196936,8.526517731,145.1925532,3079.067478,0,421.9575
,-3357.888819,3.450032658,345.0439567,100.519687,8.940709945,146.4225314,2980.054768,0,419.95725
,-3340.014669,3.454257311,348.5833572,99.60055943,9.253846145,143.8914341,2792.711041,0,417.957
,-3322.705846,3.456241718,352.1178389,104.694716,8.12490774,139.2638942,3003.431878,0,415.95675
,-3306.690255,3.45921914,355.6491536,105.1025232,8.122948987,135.5934235,2866.114274,0,413.9565
,-3291.644834,3.462042999,359.1896945,105.1067137,8.117276914,135.7888346,2875.411453,0,411.95625
,-3270.288926,3.465463181,362.7242732,107.3770597,7.52279382,141.7774995,3347.358266,0,409.956
,-3250.14542,3.46915095,366.2528739,106.343809,7.920703556,132.8955639,2836.804698,0,407.95575
,-3224.337544,3.471599273,369.7825186,118.1785955,6.20153171,117.2505339,2898.956229,0,405.9555
,-3208.965183,3.475418039,373.3187957,113.9512211,6.800394674,119.6373422,2740.80631,0,403.95525
,-3198.851444,3.477987803,376.8483826,110.2333015,7.33376724,124.9979932,2748.256866,0,401.955
,-3174.739372,3.482674355,380.3990924,106.8508148,7.81695727,132.819929,2871.562694,0,399.95475
,-3149.735637,3.487429363,383.9434409,107.0870913,7.841910676,129.7509393,2746.36265,0,397.9545
