Index,Load,Depth,HARDNESS,MODULUS,H/E,X Position,Y Position,Z Position
Integer,mN,nm,GPa,GPa,None,µm,µm,µm
1,7.99951,300.42999,4.27186,98.14372,0.04353,0,994.9815,-21.06278
2,7.99876,388.70268,2.41826,88.76321,0.02724,0,989.98087,-20.92808
3,7.99685,396.52098,2.38656,75.20467,0.03173,0,984.98025,-20.791
4,7.99951,415.41208,2.10001,86.70874,0.02422,0,979.97962,-20.58063
5,7.99955,385.88435,2.391,105.40698,0.02268,0,974.979,-20.33639
6,7.99974,239.59424,7.0014,122.10968,0.05734,0,969.97838,-19.87198
7,7.99971,259.19511,5.95105,109.67204,0.05426,0,964.97775,-19.53108
8,7.99952,248.58106,6.53553,114.05198,0.0573,0,959.97712,-19.42111
9,7.99951,246.08938,6.69904,114.61044,0.05845,0,954.9765,-19.40855
10,7.9998,252.50526,6.25269,114.94827,0.0544,0,949.97587,-19.42692
11,7.99941,237.84395,7.15293,121.56416,0.05884,0,944.97525,-19.40231
12,7.99974,235.43329,7.37325,120.81124,0.06103,0,939.97462,-19.19821
13,7.99937,241.10002,6.9361,120.0177,0.05779,0,934.974,-18.95533
14,7.99964,241.72318,6.91876,118.8133,0.05823,0,929.97337,-18.73749
15,7.99956,250.10253,6.43707,113.79539,0.05657,0,924.97275,-18.58858
16,7.99975,253.80221,6.26775,110.53864,0.0567,0,919.97212,-18.51223
17,7.99974,243.45428,6.84409,116.58384,0.05871,0,914.9715,-18.49476
18,7.99973,249.99316,6.4636,112.99957,0.0572,0,909.97087,-18.50047
19,7.99943,258.9546,6.00039,108.06224,0.05553,0,904.97025,-18.57203
20,7.99958,286.09394,4.86137,95.73976,0.05078,0,899.96962,-18.73236
21,7.99963,394.86138,2.3562,84.57697,0.02786,0,894.969,-18.76626
22,7.9989,407.02714,2.09451,124.15508,0.01687,0,889.96837,-18.57841
23,7.99924,316.2717,3.88578,88.81403,0.04375,0,884.96775,-18.10487
24,7.99978,259.44054,5.96525,108.34187,0.05506,0,879.96712,-17.87353
25,7.99977,255.89345,6.12545,110.92571,0.05522,0,874.9665,-17.73072
26,7.9997,246.28929,6.60778,117.81201,0.05609,0,869.96587,-17.64262
27,7.9998,251.82109,6.27811,115.82462,0.0542,0,864.96525,-17.56741
28,7.99963,269.3492,5.42064,108.20233,0.0501,0,859.96463,-17.49345
29,7.9994,260.59496,5.85056,110.54182,0.05293,0,854.964,-17.48137
30,7.99964,261.8061,5.78392,110.42161,0.05238,0,849.96337,-17.45377
31,7.99946,342.86975,3.10532,103.34455,0.03005,0,844.96275,-17.47086
32,7.99921,389.52273,2.39083,92.4165,0.02587,0,839.96212,-17.46006
33,7.99956,363.70399,2.81626,87.02681,0.03236,0,834.9615,-17.4392
34,7.99958,419.12749,2.04117,92.38904,0.02209,0,829.96088,-17.46168
35,7.99928,415.15479,2.07902,93.69142,0.02219,0,824.96025,-17.41154
36,7.99928,454.81152,1.70141,100.27124,0.01697,0,819.95962,-17.36516
37,7.9998,311.41772,3.96672,94.04524,0.04218,0,814.959,-17.16557
38,7.99961,284.09593,5.05909,90.42363,0.05595,0,809.95837,-17.0885
39,7.99942,402.8114,2.1908,102.27894,0.02142,0,804.95775,-17.10142
40,7.99925,519.35259,1.31827,81.95272,0.01609,0,799.95713,-16.93341
41,7.9992,503.73055,1.37901,99.68851,0.01383,0,794.9565,-16.86377
42,7.99944,400.81335,2.18278,114.38003,0.01908,0,789.95587,-16.7153
43,7.99967,312.44998,3.89682,97.42314,0.04,0,784.95525,-16.5118
44,7.99928,467.9137,1.60573,99.25439,0.01618,0,779.95462,-16.53632
45,7.99932,389.76955,2.39736,90.18642,0.02658,0,774.954,-16.4143
46,7.99967,294.53892,4.58498,91.78027,0.04996,0,769.95338,-16.34708
47,7.99917,483.0697,1.49583,104.99004,0.01425,0,764.95275,-16.31816
48,7.99968,244.36289,6.59042,124.8769,0.05278,0,759.99975,-16.08127
49,7.9994,352.6396,2.89299,108.37411,0.02669,0,754.99912,-15.98183
50,7.99939,382.13706,2.46167,99.8429,0.02466,0,749.9985,-15.82072
51,7.99957,453.26747,1.73847,88.3256,0.01968,0,744.99788,-15.65261
52,7.99945,387.40673,2.53784,72.51925,0.035,0,739.99725,-15.5016
53,7.99933,472.35407,1.58635,92.30166,0.01719,0,734.99662,-15.47666
54,7.99948,440.25795,1.82654,97.5623,0.01872,0,729.996,-15.47754
55,7.9997,293.45502,4.67231,89.40365,0.05226,0,724.99537,-15.43502
56,7.99917,452.80446,1.75161,84.60721,0.0207,0,719.99475,-15.408
57,7.99889,455.38965,1.75011,77.79639,0.0225,0,714.99413,-15.37527
58,7.99931,468.97535,1.6261,84.67293,0.0192,0,709.9935,-15.32272
59,7.99921,443.35204,1.82746,86.23418,0.02119,0,704.99287,-15.30252
60,7.99985,369.69938,2.69753,89.76535,0.03005,0,699.99225,-15.21536
61,7.99925,406.40223,2.21009,84.87922,0.02604,0,694.99162,-15.11397
62,7.99937,390.39049,2.3927,89.37527,0.02677,0,689.991,-15.05774
63,7.99961,432.52633,1.94544,80.71447,0.0241,0,684.99038,-14.88666
64,7.99908,407.47642,2.27884,69.89949,0.0326,0,679.98975,-14.77943
65,7.9993,448.35088,1.75371,99.80831,0.01757,0,674.98912,-14.69987
66,7.99929,354.20799,2.98202,88.2364,0.0338,0,669.9885,-14.42924
67,7.99971,350.46726,3.09509,83.60317,0.03702,0,664.98787,-14.29506
68,7.99983,304.4568,4.2008,93.25723,0.04505,0,659.98725,-14.16048
69,7.99963,369.6083,2.66037,97.00014,0.02743,0,654.98662,-14.05731
70,7.99975,293.25421,4.47144,102.48093,0.04363,0,649.986,-13.78827
71,7.99989,250.66008,6.37139,115.04486,0.05538,0,644.98537,-13.5763
72,7.99941,262.79001,5.75147,109.24424,0.05265,0,639.98475,-13.43246
73,7.99993,244.51392,6.83227,113.98998,0.05994,0,634.98412,-13.33086
74,7.99955,242.42099,6.85087,119.42106,0.05737,0,629.9835,-13.23561
75,7.99944,250.97809,6.38069,113.67782,0.05613,0,624.98287,-13.14321
76,7.99948,252.3107,6.32789,112.13594,0.05643,0,619.98225,-13.07976
77,7.99965,236.091,7.35877,119.33695,0.06166,0,614.98162,-13.0322
78,7.99979,249.4812,6.57124,110.14328,0.05966,0,609.981,-12.96671
79,7.99956,399.54562,2.2302,101.92778,0.02188,0,604.98037,-12.9893
80,7.99906,480.61552,1.50491,110.49943,0.01362,0,599.97975,-12.79831
81,7.99973,239.28544,7.12198,118.35031,0.06018,0,594.97912,-12.24283
82,7.99981,250.38664,6.49907,110.47758,0.05883,0,589.9785,-11.87981
83,7.99968,240.22263,7.11424,115.89382,0.06139,0,584.97787,-11.64617
84,7.99976,246.49183,6.73247,112.20317,0.06,0,579.97725,-11.48169
85,7.99989,247.17113,6.68374,112.17182,0.05958,0,574.97663,-11.42858
86,7.99969,242.08312,6.98909,115.08022,0.06073,0,569.976,-11.37811
87,7.99977,260.29681,5.95356,106.56628,0.05587,0,564.97537,-11.28435
88,7.99969,244.32573,6.83764,114.30953,0.05982,0,559.97475,-11.26387
89,7.99939,251.25691,6.3781,112.98275,0.05645,0,554.97412,-11.23017
90,7.99956,238.86496,7.13985,118.93578,0.06003,0,549.9735,-11.1067
91,7.99976,259.08648,5.98977,108.1962,0.05536,0,544.97288,-10.86742
92,7.99968,248.75286,6.56648,112.31726,0.05846,0,539.97225,-10.76496
93,7.99979,252.65954,6.33842,110.72961,0.05724,0,534.97162,-10.78494
94,7.99943,239.84491,7.08478,118.05254,0.06001,0,529.971,-10.91873
95,7.99965,254.8043,6.31667,105.91416,0.05964,0,524.97037,-11.16906
96,7.99894,474.67822,1.57907,87.5837,0.01803,0,519.96975,-11.48502
97,7.99915,478.49479,1.54598,91.30121,0.01693,0,514.96913,-11.52484
98,7.99964,274.62889,5.35044,98.09227,0.05455,0,509.9685,-11.38929
99,7.99978,255.01083,6.40039,102.39752,0.06251,0,504.96787,-11.29593
100,7.99957,374.06877,2.54812,107.66498,0.02367,0,499.96725,-11.24534
101,7.99902,438.05731,1.89172,80.95748,0.02337,0,494.96662,-11.11105
102,7.99939,361.96949,2.76566,100.9841,0.02739,0,489.966,-11.04822
103,7.99943,416.66197,2.07433,90.15043,0.02301,0,484.96538,-10.93326
104,7.99981,362.11037,2.83703,88.12101,0.03219,0,479.96475,-10.76875
105,7.99964,413.56151,2.17844,74.10071,0.0294,0,474.96412,-10.60766
106,7.99933,371.6821,2.62145,98.3538,0.02665,0,469.9635,-10.47798
107,7.99863,339.93645,3.21194,96.3614,0.03333,0,464.96287,-10.15671
108,7.99979,252.45849,6.30683,112.64239,0.05599,0,459.96225,-9.83578
109,7.9997,256.27921,6.08999,111.44534,0.05465,0,454.96163,-9.65212
110,7.99971,248.42937,6.53865,114.37058,0.05717,0,449.961,-9.59418
111,7.99957,290.01934,4.64253,99.13028,0.04683,0,444.96037,-9.55287
112,7.99983,251.69003,6.36099,112.49937,0.05654,0,439.95975,-9.39067
113,7.9997,285.0437,4.83069,100.11578,0.04825,0,434.95912,-9.29844
114,7.99971,325.75099,3.48575,103.37214,0.03372,0,429.9585,-9.14885
115,7.99977,245.06599,6.73259,116.26602,0.05791,0,424.95788,-8.79886
116,7.99988,238.22544,7.14445,120.72778,0.05918,0,419.95725,-8.62368
117,7.99986,247.26976,6.56611,116.64393,0.05629,0,414.95662,-8.55667
118,7.99985,246.04558,6.68588,115.27966,0.058,0,409.956,-8.56557
119,7.99975,249.74894,6.47028,113.41996,0.05705,0,404.95537,-8.62313
120,7.99988,237.63035,7.20362,120.31559,0.05987,0,399.95475,-8.74183
121,7.9995,388.64578,2.36904,101.10565,0.02343,0,394.95412,-8.9147
122,7.99962,396.25702,2.25071,108.53892,0.02074,0,389.9535,-8.85928
123,7.99943,336.35967,3.39262,85.16016,0.03984,0,384.95287,-8.68538
124,7.99931,345.3711,3.04424,105.34227,0.0289,0,379.99987,-8.6094
125,7.99981,364.5185,2.73146,99.32052,0.0275,0,374.99925,-8.44845
126,7.99974,242.88901,6.86912,117.27493,0.05857,0,369.99863,-8.18377
127,7.99944,243.8455,6.84357,115.44695,0.05928,0,364.998,-7.99403
128,7.99976,236.65794,7.32072,118.99186,0.06152,0,359.99737,-7.93838
129,7.99967,289.68111,4.65803,99.00095,0.04705,0,354.99675,-7.99297
130,7.99919,459.0906,1.71816,78.41891,0.02191,0,349.99612,-7.96474
131,7.99963,370.84884,2.68998,87.87937,0.03061,0,344.9955,-7.80224
132,7.99946,247.00998,6.56961,117.25799,0.05603,0,339.99487,-7.61566
133,7.99972,235.82579,7.36905,119.77248,0.06153,0,334.99425,-7.57086
134,7.99975,242.00843,6.9511,116.70846,0.05956,0,329.99362,-7.67174
135,7.99916,385.06573,2.53167,78.05522,0.03243,0,324.993,-7.75152
136,7.99958,349.42872,3.04673,92.15629,0.03306,0,319.99237,-7.71867
137,7.99921,397.48001,2.39973,71.54136,0.03354,0,314.99175,-7.57747
138,7.99892,400.04629,2.30149,82.04116,0.02805,0,309.99112,-7.49496
139,7.99955,380.274,2.51909,92.6594,0.02719,0,304.9905,-7.41235
140,7.999,460.76019,1.79978,56.77781,0.0317,0,299.98987,-7.23306
141,7.99908,420.097,2.026,94.05942,0.02154,0,294.98925,-7.14299
142,7.99983,389.83563,2.41103,87.13718,0.02767,0,289.98863,-6.96951
143,7.99906,426.61739,1.95561,95.96848,0.02038,0,284.988,-6.87762
144,7.99941,442.40832,1.82513,90.20509,0.02023,0,279.98737,-6.77144
145,7.99933,475.26971,1.59033,80.63374,0.01972,0,274.98675,-6.63292
146,7.9995,412.92087,2.13806,84.06288,0.02543,0,269.98612,-6.58707
147,7.99966,381.69037,2.60967,74.5648,0.035,0,264.9855,-6.46067
148,7.99895,427.96641,1.95852,90.17502,0.02172,0,259.98488,-6.40456
149,7.99961,410.5081,2.15704,86.15167,0.02504,0,254.98425,-6.28587
150,7.99936,423.27099,1.97127,102.96468,0.01915,0,249.98362,-6.2391
151,7.99913,359.2008,2.97318,77.96755,0.03813,0,244.983,-6.08315
152,7.99961,357.30731,2.96876,82.48447,0.03599,0,239.98237,-6.04365
153,7.99972,345.58048,3.04719,104.09311,0.02927,0,234.98175,-5.96903
154,7.99927,324.83668,3.51602,102.32755,0.03436,0,229.98113,-5.84374
155,7.99939,342.20587,3.12801,101.81603,0.03072,0,224.9805,-5.76444
156,7.99954,388.1858,2.42585,88.71774,0.02734,0,219.97987,-5.64332
157,7.9994,368.87734,2.68558,94.29515,0.02848,0,214.97925,-5.56435
158,7.99946,368.78158,2.70875,90.38861,0.02997,0,209.97862,-5.4178
159,7.99961,369.41481,2.68303,93.15769,0.0288,0,204.978,-5.36858
160,7.99942,338.42068,3.31003,88.60598,0.03736,0,199.97738,-5.22103
161,7.99938,485.90021,1.4978,91.09289,0.01644,0,194.97675,-5.15739
162,7.99928,507.66851,1.36267,95.11665,0.01433,0,189.97612,-5.06352
163,7.99941,441.31497,1.85592,82.78578,0.02242,0,184.9755,-4.87961
164,7.9997,422.54275,2.09928,69.9452,0.03001,0,179.97487,-4.74349
165,7.99923,457.65582,1.68526,97.06536,0.01736,0,174.97425,-4.72117
166,7.99832,344.56687,3.11557,96.21897,0.03238,0,169.97363,-4.58868
167,7.99937,425.23179,2.01366,81.97161,0.02457,0,164.973,-4.43937
168,7.99928,435.69648,1.87824,92.85907,0.02023,0,159.97237,-4.29329
169,7.99958,357.04082,2.84104,102.88774,0.02761,0,154.97175,-4.06703
170,7.9996,278.2341,5.05865,104.40753,0.04845,0,149.97112,-3.79167
171,7.99967,244.78283,6.7485,116.45624,0.05795,0,144.9705,-3.525
172,7.99967,239.75966,7.0403,120.02278,0.05866,0,139.96988,-3.3101
173,7.99981,234.70839,7.4004,122.06715,0.06063,0,134.96925,-3.10654
174,7.99912,244.6647,6.77303,115.79672,0.05849,0,129.96862,-2.9488
175,7.99968,248.25095,6.57127,113.54241,0.05788,0,124.968,-2.85517
176,7.99994,247.28629,6.63629,113.69491,0.05837,0,119.96737,-2.85107
177,7.99973,249.99334,6.55194,109.50123,0.05983,0,114.96675,-2.93299
178,7.99953,401.34905,2.30992,77.42529,0.02983,0,109.96612,-2.96141
179,7.99933,298.22295,4.37475,96.28816,0.04543,0,104.9655,-2.89036
180,7.99951,343.24462,3.255,83.09771,0.03917,0,99.96487,-2.80881
181,7.99967,375.24554,2.5671,98.42758,0.02608,0,94.96425,-2.73406
182,7.99941,407.54489,2.14026,101.13949,0.02116,0,89.96362,-2.62302
183,7.99928,439.52178,1.81754,105.2002,0.01728,0,84.963,-2.4585
184,7.99918,371.9506,2.57311,109.40234,0.02352,0,79.96237,-2.20958
185,7.99905,243.33514,6.82846,117.52313,0.0581,0,74.96175,-1.90599
186,7.99978,239.86791,7.04026,119.69708,0.05882,0,69.96112,-1.69718
187,7.99983,241.85539,6.98717,115.80877,0.06033,0,64.9605,-1.51862
188,7.99972,239.20344,7.12534,118.4695,0.06014,0,59.95987,-1.34511
189,7.99981,246.32539,6.76726,111.37728,0.06076,0,54.95925,-1.18785
190,7.99977,249.69095,6.51104,111.91491,0.05818,0,49.95862,-1.0849
191,7.99957,241.42656,6.95677,118.20913,0.05885,0,44.958,-1.01961
192,7.99979,252.27591,6.37277,110.36947,0.05774,0,39.95737,-0.93785
193,7.99886,253.02547,6.30285,111.16356,0.0567,0,34.95675,-0.91115
194,7.99977,245.81605,6.70246,115.2786,0.05814,0,29.95613,-0.91143
