Index,Load,Depth,HARDNESS,MODULUS,H/E,X Position,Y Position,Z Position
Integer,mN,nm,GPa,GPa,None,µm,µm,µm
1,3.99826,197.56067,4.22895,222.50017,0.01901,0,397.9545,-3.8946
2,3.99917,192.61825,4.45346,226.57333,0.01966,0,395.95425,-3.88265
3,3.99929,189.20377,4.62373,227.57222,0.02032,0,393.954,-3.86781
4,3.99948,187.82103,4.71709,220.37351,0.0214,0,391.95375,-3.85262
5,3.99952,190.20902,4.57181,227.70034,0.02008,0,389.9535,-3.83912
6,3.9995,185.44292,4.82875,226.85253,0.02129,0,387.95325,-3.82608
7,3.99935,195.59652,4.32185,222.02851,0.01947,0,385.953,-3.80313
8,3.99944,194.78079,4.36945,218.39893,0.02001,0,383.95275,-3.78725
9,3.99959,192.28066,4.48974,219.09726,0.02049,0,381.9525,-3.77756
10,3.99941,202.21743,4.0411,216.09662,0.0187,0,379.99988,-3.75984
11,3.99937,217.36261,3.48401,209.81686,0.01661,0,377.99963,-3.72894
12,3.99938,199.50955,4.14743,220.70824,0.01879,0,375.99938,-3.74597
13,3.9993,199.84773,4.11634,228.34607,0.01803,0,373.99913,-3.73772
14,3.99934,199.17856,4.14212,230.00526,0.01801,0,371.99888,-3.72262
15,3.99942,203.95006,3.99743,203.57412,0.01964,0,369.99863,-3.69233
16,3.99936,199.41503,4.14936,221.70411,0.01872,0,367.99838,-3.68385
17,3.99941,199.97032,4.13256,218.347,0.01893,0,365.99813,-3.68447
18,3.99939,201.43742,4.0748,215.8302,0.01888,0,363.99788,-3.67177
19,3.99935,198.43098,4.19532,220.64751,0.01901,0,361.99762,-3.65615
20,3.99937,199.21685,4.14405,228.26719,0.01815,0,359.99738,-3.61681
21,3.99947,200.3281,4.08694,232.84658,0.01755,0,357.99713,-3.59392
22,3.99953,201.80568,4.03179,229.05572,0.0176,0,355.99688,-3.58283
23,3.99949,205.46752,3.92842,206.4718,0.01903,0,353.99663,-3.56594
24,3.99933,195.78155,4.33332,213.91845,0.02026,0,351.99638,-3.5593
25,3.99939,198.35553,4.22668,209.13261,0.02021,0,349.99613,-3.54536
26,3.9994,195.81404,4.35133,206.71172,0.02105,0,347.99588,-3.52907
27,3.99943,195.8341,4.32946,214.50177,0.02018,0,345.99563,-3.51425
28,3.9994,192.28517,4.50462,213.49545,0.0211,0,343.99538,-3.50443
29,3.99945,190.37583,4.57267,224.04414,0.02041,0,341.99513,-3.48836
30,3.99951,192.39699,4.47726,221.61743,0.0202,0,339.99487,-3.47721
31,3.99956,196.78918,4.28307,215.27984,0.0199,0,337.99463,-3.45172
32,3.99955,195.52778,4.29972,233.35089,0.01843,0,335.99438,-3.43497
33,3.99935,200.20557,4.12462,217.28955,0.01898,0,333.99413,-3.42331
34,3.99937,205.80314,3.91938,204.44534,0.01917,0,331.99387,-3.40916
35,3.9994,202.43245,4.0678,201.04758,0.02023,0,329.99363,-3.3897
36,3.99943,198.04792,4.21612,219.12815,0.01924,0,327.99338,-3.36985
37,3.99932,197.57159,4.32823,187.15365,0.02313,0,325.99313,-3.37589
38,3.99913,218.44034,3.51133,178.47954,0.01967,0,323.99288,-3.33294
39,3.99906,198.77903,4.17266,223.70765,0.01865,0,321.99263,-3.34073
40,3.99934,197.73918,4.23677,216.2739,0.01959,0,319.99238,-3.32642
41,3.99933,205.27948,3.94271,203.52026,0.01937,0,317.99213,-3.30236
42,3.99958,201.70879,4.05951,217.60814,0.01866,0,315.99188,-3.30272
43,3.99953,200.28914,4.12878,213.99923,0.01929,0,313.99163,-3.29812
44,3.9996,194.0639,4.39563,221.74284,0.01982,0,311.99138,-3.27675
45,3.99925,214.29555,3.58464,212.17675,0.01689,0,309.99112,-3.24158
46,3.99966,197.74929,4.19984,232.85563,0.01804,0,307.99088,-3.24946
47,3.99953,197.47588,4.23296,223.10073,0.01897,0,305.99063,-3.24586
48,3.99916,195.2752,4.38808,202.82556,0.02163,0,303.99038,-3.23358
49,3.99929,202.9582,3.97468,233.9324,0.01699,0,301.99013,-3.22406
50,3.9995,199.51564,4.11857,234.58751,0.01756,0,299.98988,-3.21503
51,3.99968,202.04787,4.02464,227.6134,0.01768,0,297.98963,-3.20213
52,3.99955,197.81167,4.18645,238.12901,0.01758,0,295.98938,-3.19244
53,3.99953,197.62636,4.20943,230.80034,0.01824,0,293.98913,-3.17504
54,3.99963,198.58723,4.21085,211.34641,0.01992,0,291.98888,-3.15097
55,3.99949,201.37504,4.07179,218.44367,0.01864,0,289.98863,-3.14291
56,3.99931,220.91048,3.38696,198.88848,0.01703,0,287.98837,-3.10413
57,3.99903,200.39544,4.13557,208.99427,0.01979,0,285.98813,-3.09556
58,3.99926,203.40621,3.99611,213.85817,0.01869,0,283.98788,-3.07004
59,3.99918,217.85583,3.49,197.3987,0.01768,0,281.98763,-3.03829
60,3.99912,201.4522,4.07643,214.68375,0.01899,0,279.98737,-3.03718
61,3.99928,201.58413,4.12369,193.96848,0.02126,0,277.98713,-3.0286
62,3.99925,201.99596,4.05599,213.54222,0.01899,0,275.98688,-3.0219
63,3.99922,204.85881,3.91642,223.82418,0.0175,0,273.98663,-2.98748
64,3.99957,201.17467,4.0587,228.91385,0.01773,0,271.98638,-2.97606
65,3.99948,202.0507,4.0243,227.60835,0.01768,0,269.98613,-2.95682
66,3.99965,214.90868,3.57967,203.51607,0.01759,0,267.98588,-2.92393
67,3.99957,199.96013,4.16075,206.86621,0.02011,0,265.98563,-2.92695
68,3.99919,202.529,4.07783,195.63994,0.02084,0,263.98538,-2.90547
69,3.99915,205.15164,3.93339,209.78771,0.01875,0,261.98513,-2.89178
70,3.99941,205.34444,3.91283,215.92954,0.01812,0,259.98488,-2.87111
71,3.99933,205.47899,3.89654,221.34785,0.0176,0,257.98462,-2.85696
72,3.99962,205.33818,3.9266,209.68472,0.01873,0,255.98438,-2.84091
73,3.99911,209.86117,3.74894,210.16024,0.01784,0,253.98413,-2.82469
74,3.99932,205.86075,3.93582,196.64787,0.02001,0,251.98388,-2.81249
75,3.99929,206.40167,3.9265,191.73652,0.02048,0,249.98363,-2.79574
76,3.9993,197.55051,4.20566,234.15221,0.01796,0,247.98338,-2.78193
77,3.99937,207.79109,3.82097,213.71148,0.01788,0,245.98313,-2.76543
78,3.99939,198.32114,4.17861,230.64686,0.01812,0,243.98288,-2.76326
79,3.99927,197.29762,4.22649,229.57431,0.01841,0,241.98263,-2.75455
80,3.99958,195.96658,4.26458,240.66473,0.01772,0,239.98238,-2.74451
81,3.99966,196.25371,4.26012,236.39454,0.01802,0,237.98213,-2.72405
82,3.99947,219.0769,3.45979,192.19427,0.018,0,235.98187,-2.67857
83,3.99919,197.47053,4.2737,206.58966,0.02069,0,233.98163,-2.68514
84,3.9992,201.50061,4.11121,199.76104,0.02058,0,231.98138,-2.66238
85,3.99924,199.28899,4.17224,214.10079,0.01949,0,229.98113,-2.65145
86,3.99936,198.54738,4.18716,221.9683,0.01886,0,227.98087,-2.63799
87,3.99956,198.10184,4.19643,226.91578,0.01849,0,225.98063,-2.61883
88,3.99946,196.91454,4.237,232.92048,0.01819,0,223.98038,-2.60868
89,3.99947,196.91615,4.27076,217.85457,0.0196,0,221.98013,-2.59726
90,3.99953,198.95898,4.16947,221.78998,0.0188,0,219.97988,-2.57761
91,3.99952,201.62593,4.04844,224.48215,0.01803,0,217.97963,-2.5578
92,3.9995,196.77097,4.27982,216.89585,0.01973,0,215.97938,-2.54612
93,3.99939,213.02089,3.6523,200.60761,0.01821,0,213.97913,-2.51006
94,3.99927,212.91082,3.63597,210.8859,0.01724,0,211.97888,-2.49293
95,3.99939,199.93753,4.12341,223.14975,0.01848,0,209.97863,-2.49087
96,3.99949,203.17994,4.0074,213.12308,0.0188,0,207.97838,-2.47659
97,3.99951,211.76987,3.68879,205.07235,0.01799,0,205.97812,-2.45474
98,3.99925,202.22646,4.02906,221.46992,0.01819,0,203.97788,-2.45565
99,3.99925,206.1872,3.86866,221.23449,0.01749,0,201.97763,-2.43598
100,3.99951,208.7097,3.7763,218.72313,0.01727,0,199.97738,-2.42468
101,3.99935,206.9436,3.84065,220.46112,0.01742,0,197.97713,-2.41289
102,3.99933,212.95148,3.63106,212.80658,0.01706,0,195.97688,-2.39689
103,3.99933,231.26047,3.09382,189.30985,0.01634,0,193.97663,-2.36627
104,3.99948,208.55547,3.81356,203.24349,0.01876,0,191.97638,-2.38085
105,3.99931,206.1559,3.9125,201.29038,0.01944,0,189.97613,-2.36548
106,3.99929,212.96371,3.65728,199.17055,0.01836,0,187.97588,-2.34843
107,3.99933,205.93394,3.91781,202.83424,0.01932,0,185.97563,-2.34227
108,3.99917,204.07641,3.99092,203.97415,0.01957,0,183.97537,-2.32453
109,3.99944,201.08845,4.08102,219.81043,0.01857,0,181.97513,-2.31321
110,3.99935,199.91146,4.12511,222.86316,0.01851,0,179.97488,-2.30592
111,3.99938,202.32931,4.04207,213.5188,0.01893,0,177.97463,-2.28659
112,3.99934,202.63582,4.06961,197.03538,0.02065,0,175.97437,-2.26773
113,3.99928,203.01865,4.05604,195.96698,0.0207,0,173.97413,-2.25093
114,3.99932,204.69716,3.97,202.08103,0.01965,0,171.97388,-2.2276
115,3.99926,201.75802,4.08959,203.79528,0.02007,0,169.97363,-2.21128
116,3.99932,200.01365,4.15662,207.44088,0.02004,0,167.97338,-2.19776
117,3.99921,179.49008,5.14735,237.0815,0.02171,0,165.97313,-2.17901
118,3.99943,213.88168,3.62214,200.27464,0.01809,0,163.97288,-2.1367
119,3.99946,191.78593,4.55048,206.55637,0.02203,0,161.97262,-2.15118
120,3.99919,191.07506,4.54731,220.05763,0.02066,0,159.97238,-2.1345
121,3.99931,204.4139,3.98299,201.54717,0.01976,0,157.97213,-2.12327
122,3.99933,210.37623,3.75547,198.04161,0.01896,0,155.97188,-2.10359
123,3.9992,212.30942,3.7141,184.97006,0.02008,0,153.97162,-2.0801
124,3.99921,202.55619,4.06973,198.20791,0.02053,0,151.97138,-2.07783
125,3.9991,209.75498,3.78793,194.13942,0.01951,0,149.97113,-2.05765
126,3.99918,207.04556,3.87719,201.11917,0.01928,0,147.97088,-2.04698
127,3.99911,203.73748,4.04291,189.62232,0.02132,0,145.97063,-2.03664
128,3.99942,195.3958,4.3372,219.62161,0.01975,0,143.97038,-2.03539
129,3.99934,201.21282,4.06456,225.04991,0.01806,0,141.97013,-2.00785
130,3.99966,200.27829,4.09609,229.38384,0.01786,0,139.96988,-2.00206
131,3.9994,198.85726,4.15523,230.52264,0.01803,0,137.96963,-1.99349
132,3.99951,197.12142,4.25398,220.96739,0.01925,0,135.96938,-1.97782
133,3.99911,201.88482,4.0686,210.06563,0.01937,0,133.96913,-1.95258
134,3.99947,202.64771,4.05471,202.60703,0.02001,0,131.96887,-1.94349
135,3.99941,202.20289,4.05388,210.71489,0.01924,0,129.96863,-1.92236
136,3.99917,200.49332,4.16901,194.94216,0.02139,0,127.96838,-1.89656
137,3.99921,218.06668,3.5195,180.42811,0.01951,0,125.96813,-1.85795
138,3.99914,212.37337,3.70071,189.40423,0.01954,0,123.96787,-1.84968
139,3.99929,200.9351,4.13589,199.82996,0.0207,0,121.96763,-1.84151
140,3.99915,210.62254,3.75484,194.18459,0.01934,0,119.96738,-1.81539
141,3.99957,212.34448,3.70915,186.5751,0.01988,0,117.96713,-1.79945
142,3.99939,196.48692,4.29586,215.68406,0.01992,0,115.96688,-1.79773
143,3.9993,212.23256,3.71022,187.71137,0.01977,0,113.96663,-1.77277
144,3.99934,205.62649,3.93304,201.6626,0.0195,0,111.96638,-1.76501
145,3.99938,218.81427,3.4482,202.77172,0.01701,0,109.96612,-1.73473
146,3.9995,209.86902,3.75747,206.02784,0.01824,0,107.96588,-1.73497
147,3.9996,200.18949,4.11252,223.24609,0.01842,0,105.96563,-1.72712
148,3.99917,198.95375,4.20906,205.41567,0.02049,0,103.96538,-1.71749
149,3.99943,199.6782,4.18294,203.11875,0.02059,0,101.96512,-1.68951
150,3.9994,203.18243,4.0124,210.80601,0.01903,0,99.96488,-1.6677
151,3.99929,203.19862,4.04231,198.24788,0.02039,0,97.96463,-1.6483
152,3.99934,205.85884,3.92357,201.68752,0.01945,0,95.96438,-1.63374
153,3.9991,205.91713,3.90966,206.56383,0.01893,0,93.96413,-1.62472
154,3.99909,220.6204,3.45237,172.5539,0.02001,0,91.96388,-1.59577
155,3.99909,201.99747,4.08395,201.89018,0.02023,0,89.96363,-1.60984
156,3.9992,198.79932,4.22403,202.47973,0.02086,0,87.96337,-1.60832
157,3.99891,202.48374,4.10867,185.65077,0.02213,0,85.96313,-1.58318
158,3.9991,198.15392,4.25412,202.2219,0.02104,0,83.96288,-1.58875
159,3.9989,203.53783,4.00316,208.12798,0.01923,0,81.96263,-1.58431
160,3.99957,201.36118,4.0501,229.2797,0.01766,0,79.96237,-1.57571
161,3.99942,201.20168,4.07813,218.89852,0.01863,0,77.96213,-1.56463
162,3.99939,198.89209,4.16461,225.29639,0.01849,0,75.96188,-1.5553
163,3.99908,183.27364,4.96245,223.37183,0.02222,0,73.96163,-1.54051
164,3.99945,201.30721,4.07775,217.03293,0.01879,0,71.96137,-1.52451
165,3.99955,209.06684,3.79836,201.25361,0.01887,0,69.96113,-1.51108
166,3.99949,197.82894,4.21739,222.91444,0.01892,0,67.96088,-1.50401
167,3.99965,198.64253,4.1671,229.48242,0.01816,0,65.96063,-1.48712
168,3.9994,160.89684,6.48577,248.21821,0.02613,0,63.96038,-1.46561
169,3.99951,204.41519,3.95628,213.20929,0.01856,0,61.96013,-1.43602
170,3.99916,200.86826,4.14225,198.52236,0.02087,0,59.95988,-1.41252
171,3.99921,213.02036,3.68908,184.44086,0.02,0,57.95962,-1.36737
172,3.99919,195.60734,4.35329,209.45369,0.02078,0,55.95938,-1.35794
173,3.99949,203.40936,4.04199,195.10223,0.02072,0,53.95913,-1.31713
174,3.99947,201.58984,4.10595,200.39642,0.02049,0,51.95888,-1.29275
175,3.99902,204.14895,4.02933,188.23782,0.02141,0,49.95862,-1.26269
176,3.99932,195.10196,4.40353,200.56018,0.02196,0,47.95838,-1.25332
177,3.99937,199.87045,4.16612,206.22912,0.0202,0,45.95813,-1.24437
178,3.9993,200.14319,4.14015,211.78634,0.01955,0,43.95788,-1.22569
179,3.99914,201.35662,4.11691,199.94922,0.02059,0,41.95763,-1.20944
180,3.99906,203.42758,4.02254,202.08566,0.01991,0,39.95738,-1.19137
181,3.99893,202.66972,4.13566,175.0899,0.02362,0,37.95713,-1.17362
182,3.99918,198.24373,4.27604,193.42524,0.02211,0,35.95687,-1.16087
183,3.99905,196.20686,4.34062,203.75761,0.0213,0,33.95663,-1.14865
184,3.99918,218.43016,3.48144,192.03387,0.01813,0,31.95638,-1.11354
185,3.99936,201.69228,4.06601,214.88205,0.01892,0,29.95613,-1.10922
186,3.99919,204.15853,4.0391,184.87489,0.02185,0,27.95587,-1.08285
187,3.99908,181.681,5.21312,185.35826,0.02812,0,25.95563,-1.06173
188,3.99935,181.59078,5.23996,181.4715,0.02887,0,23.95538,-1.04375
189,3.99939,200.13214,4.18161,196.26398,0.02131,0,21.95513,-1.042
190,3.99935,202.75808,4.03424,209.04022,0.0193,0,19.95487,-1.03066
191,3.99949,203.52134,4.00765,206.80141,0.01938,0,17.95463,-1.01973
192,3.99951,203.7881,4.00613,202.81934,0.01975,0,15.95438,-1.01123
193,3.99919,205.15076,3.94649,204.0752,0.01934,0,13.95413,-0.99731
194,3.9993,199.94896,4.16833,204.01386,0.02043,0,11.95388,-0.97977
195,3.99949,209.28885,3.82829,185.51035,0.02064,0,9.95363,-0.95529
196,3.99921,205.16462,3.97383,192.96992,0.02059,0,7.95338,-0.9579
197,3.99899,205.14229,3.9657,196.32062,0.0202,0,5.95312,-0.94147
198,3.99909,210.76375,3.75301,192.68041,0.01948,0,3.95288,-0.92399
199,3.999,206.91988,3.94091,179.14756,0.022,0,1.95263,-0.9145
200,3.99902,201.89309,4.11142,193.42458,0.02126,0,0,-0.90608
201,3.99935,206.06075,3.94419,190.34633,0.02072,2.00025,397.9545,-3.8558
202,3.99952,209.1557,3.81377,193.19527,0.01974,2.00025,395.95425,-3.83966
203,3.99911,201.18079,4.15134,190.54387,0.02179,2.00025,393.954,-3.8243
204,3.99896,204.87899,3.97128,198.37301,0.02002,2.00025,391.95375,-3.80475
205,3.99907,201.97972,4.07361,206.28331,0.01975,2.00025,389.9535,-3.79597
206,3.99938,200.12673,4.15891,204.63077,0.02032,2.00025,387.95325,-3.78226
207,3.99914,209.33384,3.80793,192.59917,0.01977,2.00025,385.953,-3.75896
208,3.99926,202.16111,4.0766,202.08668,0.02017,2.00025,383.95275,-3.74811
209,3.99923,201.01766,4.15093,193.16953,0.02149,2.00025,381.9525,-3.73296
210,3.99906,202.57289,4.07161,197.17589,0.02065,2.00025,379.99988,-3.71969
211,3.99904,204.34602,3.96171,211.77198,0.01871,2.00025,377.99963,-3.69827
212,3.99929,216.26062,3.55767,191.07388,0.01862,2.00025,375.99938,-3.68961
