Index,Load,Depth,HARDNESS,MODULUS,H/E,X Position,Y Position,Z Position
Integer,mN,nm,GPa,GPa,None,µm,µm,µm
1,3.99983,171.95865,6.3595,107.76051,0.05902,0,696.468,-14.58913
2,3.99934,175.93864,6.00334,107.25554,0.05597,0,692.99138,-14.58879
3,3.99983,166.97785,6.77745,111.14324,0.06098,0,689.46713,-14.6416
4,3.9995,343.24685,1.41893,91.20619,0.01556,0,685.9905,-14.71512
5,3.99936,332.50729,1.51935,87.98337,0.01727,0,682.46625,-14.61568
6,3.99951,257.83027,2.49795,110.81481,0.02254,0,678.98963,-14.39946
7,3.99982,159.69894,7.33644,120.95826,0.06065,0,675.46538,-14.04873
8,3.99985,172.93256,6.22856,109.27382,0.057,0,671.98875,-13.78077
9,3.99938,186.76936,5.314,99.47738,0.05342,0,668.4645,-13.61597
10,3.99988,182.90081,5.55239,101.86999,0.0545,0,664.98788,-13.51734
11,3.99983,183.21505,5.55725,100.55107,0.05527,0,661.46362,-13.44108
12,3.99962,174.28062,6.22009,104.62796,0.05945,0,657.987,-13.40989
13,3.99961,162.26327,7.18147,115.61297,0.06212,0,654.46275,-13.40539
14,3.99984,170.29727,6.4225,111.64077,0.05753,0,650.98613,-13.4236
15,3.99981,168.18399,6.64573,111.27281,0.05972,0,647.46187,-13.50052
16,3.99981,179.2099,5.83338,102.59872,0.05686,0,643.98525,-13.58175
17,3.99953,161.89681,7.26952,114.16688,0.06367,0,640.461,-13.74905
18,3.99926,345.27461,1.4128,84.42165,0.01673,0,636.98438,-13.91662
19,3.99931,347.05557,1.39272,87.69473,0.01588,0,633.46012,-13.886
20,3.99973,210.90903,4.0326,93.60656,0.04308,0,629.9835,-13.70705
21,3.99965,165.20277,6.87933,114.41401,0.06013,0,626.45925,-13.73637
22,3.99935,295.26564,1.91289,99.14319,0.01929,0,622.98262,-13.86118
23,3.99953,308.77779,1.76545,89.75289,0.01967,0,619.45838,-13.87248
24,3.99959,336.89066,1.4675,95.34415,0.01539,0,615.98175,-13.8133
25,3.99989,204.30558,4.33924,94.43108,0.04595,0,612.4575,-13.67809
26,3.99968,197.49014,4.61204,100.65194,0.04582,0,608.98087,-13.62395
27,3.99963,267.51858,2.4347,80.85911,0.03011,0,605.45663,-13.53424
28,3.99973,228.78539,3.25646,105.04105,0.031,0,601.98,-13.47093
29,3.99951,283.61467,2.14342,81.06498,0.02644,0,598.45575,-13.3244
30,3.9997,247.75942,2.86695,83.56312,0.03431,0,594.97912,-13.21658
31,3.99973,232.78781,3.1659,100.11191,0.03162,0,591.45488,-13.14242
32,3.99976,244.60105,2.9201,87.50443,0.03337,0,587.97825,-13.03896
